FIDate,UniqueCarrier,delayFlag,Count,DepDelayMin,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1/1/16,HR,0,1553,-6131,0,0,0,0,0
1/2/16,HR,0,1336,-5080,0,0,0,0,0
1/3/16,HR,0,1491,-5723,0,0,0,0,0
1/4/16,HR,0,1477,-5777,0,0,0,0,0
1/5/16,HR,0,1423,-5768,0,0,0,0,0
1/6/16,HR,0,1725,-7946,0,0,0,0,0
1/7/16,HR,0,1754,-8248,0,0,0,0,0
1/8/16,HR,0,1889,-9447,0,0,0,0,0
1/9/16,HR,0,1380,-6312,0,0,0,0,0
1/10/16,HR,0,1417,-5434,0,0,0,0,0
1/11/16,HR,0,1703,-7638,0,0,0,0,0
1/12/16,HR,0,1801,-9054,0,0,0,0,0
1/13/16,HR,0,1850,-9112,0,0,0,0,0
1/14/16,HR,0,1810,-7979,0,0,0,0,0
1/15/16,HR,0,1570,-6462,0,0,0,0,0
1/16/16,HR,0,1387,-6460,0,0,0,0,0
1/17/16,HR,0,1567,-7095,0,0,0,0,0
1/18/16,HR,0,1641,-6800,0,0,0,0,0
1/19/16,HR,0,1665,-7611,0,0,0,0,0
1/20/16,HR,0,1882,-9734,0,0,0,0,0
1/21/16,HR,0,1577,-7170,0,0,0,0,0
1/22/16,HR,0,1157,-5020,0,0,0,0,0
1/23/16,HR,0,950,-5033,0,0,0,0,0
1/24/16,HR,0,1183,-5536,0,0,0,0,0
1/25/16,HR,0,1350,-5981,0,0,0,0,0
1/26/16,HR,0,1720,-8472,0,0,0,0,0
1/27/16,HR,0,1966,-11072,0,0,0,0,0
1/28/16,HR,0,1935,-10079,0,0,0,0,0
1/29/16,HR,0,1969,-10246,0,0,0,0,0
1/30/16,HR,0,1716,-9877,0,0,0,0,0
1/31/16,HR,0,1828,-8837,0,0,0,0,0
2/1/16,HR,0,1955,-10397,0,0,0,0,0
2/2/16,HR,0,1925,-11519,0,0,0,0,0
2/3/16,HR,0,1786,-9837,0,0,0,0,0
2/4/16,HR,0,1944,-9964,0,0,0,0,0
2/5/16,HR,0,1699,-8594,0,0,0,0,0
2/6/16,HR,0,1692,-9216,0,0,0,0,0
2/7/16,HR,0,1909,-9981,0,0,0,0,0
2/8/16,HR,0,1701,-7933,0,0,0,0,0
2/9/16,HR,0,1799,-9578,0,0,0,0,0
2/10/16,HR,0,1987,-10133,0,0,0,0,0
2/11/16,HR,0,1824,-8433,0,0,0,0,0
2/12/16,HR,0,1814,-7823,0,0,0,0,0
2/13/16,HR,0,1548,-7372,0,0,0,0,0
2/14/16,HR,0,1484,-6927,0,0,0,0,0
2/15/16,HR,0,1163,-4786,0,0,0,0,0
2/16/16,HR,0,1157,-4692,0,0,0,0,0
2/17/16,HR,0,1912,-9469,0,0,0,0,0
2/18/16,HR,0,1902,-8994,0,0,0,0,0
2/19/16,HR,0,1718,-7948,0,0,0,0,0
2/20/16,HR,0,1705,-8633,0,0,0,0,0
2/21/16,HR,0,1821,-8631,0,0,0,0,0
2/22/16,HR,0,1954,-9316,0,0,0,0,0
2/23/16,HR,0,1950,-10762,0,0,0,0,0
2/24/16,HR,0,1419,-7064,0,0,0,0,0
2/25/16,HR,0,1624,-6783,0,0,0,0,0
2/26/16,HR,0,1986,-9234,0,0,0,0,0
2/27/16,HR,0,1734,-8933,0,0,0,0,0
2/28/16,HR,0,1850,-8901,0,0,0,0,0
2/29/16,HR,0,1972,-9760,0,0,0,0,0
3/1/16,HR,0,1811,-9955,0,0,0,0,0
3/2/16,HR,0,2019,-11096,0,0,0,0,0
3/3/16,HR,0,1868,-9244,0,0,0,0,0
3/4/16,HR,0,1799,-8366,0,0,0,0,0
3/5/16,HR,0,1728,-8701,0,0,0,0,0
3/6/16,HR,0,1892,-8962,0,0,0,0,0
3/7/16,HR,0,1827,-9052,0,0,0,0,0
3/8/16,HR,0,1632,-8994,0,0,0,0,0
3/9/16,HR,0,1632,-8262,0,0,0,0,0
3/10/16,HR,0,1698,-7602,0,0,0,0,0
3/11/16,HR,0,1714,-7433,0,0,0,0,0
3/12/16,HR,0,1530,-6772,0,0,0,0,0
3/13/16,HR,0,1666,-6864,0,0,0,0,0
3/14/16,HR,0,1597,-6762,0,0,0,0,0
3/15/16,HR,0,1888,-8806,0,0,0,0,0
3/16/16,HR,0,1847,-8386,0,0,0,0,0
3/17/16,HR,0,1622,-6710,0,0,0,0,0
3/18/16,HR,0,1720,-7102,0,0,0,0,0
3/19/16,HR,0,1448,-6106,0,0,0,0,0
3/20/16,HR,0,1672,-6973,0,0,0,0,0
3/21/16,HR,0,1740,-7429,0,0,0,0,0
3/22/16,HR,0,1991,-9511,0,0,0,0,0
3/23/16,HR,0,1834,-8409,0,0,0,0,0
3/24/16,HR,0,1577,-6405,0,0,0,0,0
3/25/16,HR,0,1677,-7373,0,0,0,0,0
3/26/16,HR,0,1443,-7031,0,0,0,0,0
3/27/16,HR,0,1808,-9049,0,0,0,0,0
3/28/16,HR,0,1755,-7778,0,0,0,0,0
3/29/16,HR,0,1876,-9494,0,0,0,0,0
3/30/16,HR,0,1746,-8909,0,0,0,0,0
3/31/16,HR,0,1775,-8118,0,0,0,0,0
4/1/16,HR,0,1652,-7265,0,0,0,0,0
4/2/16,HR,0,1264,-5657,0,0,0,0,0
4/3/16,HR,0,1638,-7035,0,0,0,0,0
4/4/16,HR,0,1747,-8086,0,0,0,0,0
4/5/16,HR,0,1939,-9779,0,0,0,0,0
4/6/16,HR,0,2018,-10266,0,0,0,0,0
4/7/16,HR,0,1705,-8004,0,0,0,0,0
4/8/16,HR,0,1762,-8042,0,0,0,0,0
4/9/16,HR,0,1588,-7673,0,0,0,0,0
4/10/16,HR,0,1736,-7593,0,0,0,0,0
4/11/16,HR,0,1842,-8573,0,0,0,0,0
4/12/16,HR,0,2113,-11650,0,0,0,0,0
4/13/16,HR,0,2048,-10975,0,0,0,0,0
4/14/16,HR,0,1936,-9135,0,0,0,0,0
4/15/16,HR,0,1862,-8134,0,0,0,0,0
4/16/16,HR,0,1605,-7802,0,0,0,0,0
4/17/16,HR,0,1291,-5368,0,0,0,0,0
4/18/16,HR,0,1771,-7328,0,0,0,0,0
4/19/16,HR,0,2131,-11245,0,0,0,0,0
4/20/16,HR,0,2054,-10080,0,0,0,0,0
4/21/16,HR,0,1939,-8475,0,0,0,0,0
4/22/16,HR,0,2001,-9045,0,0,0,0,0
4/23/16,HR,0,1787,-9245,0,0,0,0,0
4/24/16,HR,0,2002,-9459,0,0,0,0,0
4/25/16,HR,0,1932,-9106,0,0,0,0,0
4/26/16,HR,0,1898,-9996,0,0,0,0,0
4/27/16,HR,0,1853,-8885,0,0,0,0,0
4/28/16,HR,0,1900,-8439,0,0,0,0,0
4/29/16,HR,0,1523,-6300,0,0,0,0,0
4/30/16,HR,0,1328,-5673,0,0,0,0,0
5/1/16,HR,0,1433,-5907,0,0,0,0,0
5/2/16,HR,0,1643,-7125,0,0,0,0,0
5/3/16,HR,0,1733,-8445,0,0,0,0,0
5/4/16,HR,0,1690,-8320,0,0,0,0,0
5/5/16,HR,0,1662,-6840,0,0,0,0,0
5/6/16,HR,0,1698,-7027,0,0,0,0,0
5/7/16,HR,0,1634,-7567,0,0,0,0,0
5/8/16,HR,0,1800,-8397,0,0,0,0,0
5/9/16,HR,0,1852,-7836,0,0,0,0,0
5/10/16,HR,0,2047,-10252,0,0,0,0,0
